r_center,r_halfwidth,k_sq,i,j,a_lo,b_lo,primes,dsu_groups,port_groups,ports_I,ports_O,ports_L,ports_R,sum_n,max_label,overflow_128,overflow_256
60000000,4096,40,64858,225209,16603648,57653504,2558,45,24,16,9,13,15,53,24,0,0
60000000,4096,40,103371,210347,26462976,53848832,2573,39,21,16,12,13,12,53,21,0,0
60000000,4096,40,42142,230551,10788352,59021056,2578,54,28,16,16,17,15,64,28,0,0
60000000,4096,40,36833,231458,9429248,59253248,2597,50,22,13,13,16,11,53,22,0,0
60000000,4096,40,149911,180161,38377216,46121216,2633,51,28,19,13,17,16,65,28,0,0
60000000,4096,40,149572,180428,38290432,46189568,2550,55,27,20,17,16,11,64,27,0,0
60000000,4096,40,130616,194593,33437696,49815808,2586,48,24,16,13,21,14,64,24,0,0
60000000,4096,40,149791,180267,38346496,46148352,2649,42,17,13,16,12,12,53,17,0,0
60000000,4096,40,53992,228055,13821952,58382080,2648,33,13,12,12,9,12,45,13,0,0
60000000,4096,40,9568,234170,2449408,59947520,2618,33,12,15,10,10,13,48,12,0,0
60000000,4096,40,116427,203415,29805312,52074240,2593,51,25,16,14,16,13,59,25,0,0
60000000,4096,40,99696,212113,25522176,54300928,2556,49,22,17,16,13,12,58,22,0,0
60000000,4096,40,131435,194070,33647360,49681920,2544,66,27,13,15,16,11,55,27,0,0
60000000,4096,40,150442,179699,38513152,46002944,2609,42,21,13,13,12,13,51,21,0,0
60000000,4096,40,158782,172408,40648192,44136448,2653,41,17,11,14,12,12,49,17,0,0
60000000,4096,40,96203,213718,24627968,54711808,2571,50,30,17,16,17,15,65,30,0,0
60000000,4096,40,139785,188125,35784960,48160000,2561,47,18,12,16,13,9,50,18,0,0
60000000,4096,40,91167,215932,23338752,55278592,2597,52,27,11,20,15,13,59,27,0,0
60000000,4096,40,91712,215671,23478272,55211776,2640,43,22,10,17,13,17,57,22,0,0
60000000,4096,40,33401,231990,8550656,59389440,2508,51,27,17,16,13,12,58,27,0,0
60000000,4096,40,139962,187983,35830272,48123648,2626,47,32,15,14,19,22,70,32,0,0
60000000,4096,40,136553,190490,34957568,48765440,2567,47,19,9,16,11,10,46,19,0,0
60000000,4096,40,11522,234081,2949632,59924736,2548,43,22,14,16,7,14,51,22,0,0
60000000,4096,40,139128,188630,35616768,48289280,2568,52,28,14,17,14,13,58,28,0,0
60000000,4096,40,109679,207120,28077824,53022720,2541,37,14,13,14,13,7,47,14,0,0
60000000,4096,40,155840,175065,39895040,44816640,2584,55,25,19,13,10,15,57,25,0,0
60000000,4096,40,101778,211133,26055168,54050048,2662,40,18,14,10,11,11,46,18,0,0
60000000,4096,40,60827,226341,15571712,57943296,2566,61,30,19,18,16,15,68,30,0,0
60000000,4096,40,142181,186305,36398336,47694080,2490,78,33,18,21,12,17,68,33,0,0
60000000,4096,40,103129,210454,26401024,53876224,2578,55,24,13,12,14,11,50,24,0,0
60000000,4096,40,24300,233096,6220800,59672576,2514,53,27,9,16,19,13,57,27,0,0
60000000,4096,40,64400,225365,16486400,57693440,2537,50,26,15,21,14,10,60,26,0,0
60000000,4096,40,95341,214093,24407296,54807808,2560,49,21,12,16,16,17,61,21,0,0
60000000,4096,40,162730,168681,41658880,43182336,2581,51,27,16,14,13,18,61,27,0,0
60000000,4096,40,35156,231724,8999936,59321344,2496,55,24,18,10,11,20,59,24,0,0
60000000,4096,40,95247,214148,24383232,54821888,2583,42,16,13,12,17,13,55,16,0,0
60000000,4096,40,82009,219564,20994304,56208384,2645,43,25,15,9,14,19,57,25,0,0
60000000,4096,40,136156,190754,34855936,48833024,2582,50,23,12,17,17,18,64,23,0,0
60000000,4096,40,115131,204139,29473536,52259584,2493,64,32,17,12,14,22,65,32,0,0
60000000,4096,40,22304,233309,5709824,59727104,2575,38,18,12,13,16,9,50,18,0,0
60000000,4096,40,14206,233951,3636736,59891456,2572,42,21,16,11,14,14,55,21,0,0
60000000,4096,40,124126,198820,31776256,50897920,2582,43,25,19,14,7,16,56,25,0,0
60000000,4096,40,35274,231698,9030144,59314688,2639,39,20,17,10,16,8,51,20,0,0
60000000,4096,40,53460,228193,13685760,58417408,2629,42,20,17,15,14,15,61,20,0,0
60000000,4096,40,165069,166381,42257664,42593536,2563,36,19,16,13,10,17,56,19,0,0
60000000,4096,40,83753,218884,21440768,56034304,2522,45,20,15,14,16,11,56,20,0,0
60000000,4096,40,152947,177583,39154432,45461248,2612,42,23,21,11,15,12,59,23,0,0
60000000,4096,40,100577,211704,25747712,54196224,2585,48,26,11,11,15,19,56,26,0,0
60000000,4096,40,153298,177290,39244288,45386240,2531,45,21,14,15,14,11,54,21,0,0
60000000,4096,40,8367,234227,2141952,59962112,2643,44,27,12,25,9,18,64,27,0,0
80000000,4096,36,106801,293679,27341056,75181824,2576,111,54,24,20,15,25,84,54,0,0
80000000,4096,36,168906,262931,43239936,67310336,2504,109,44,21,14,21,17,73,44,0,0
80000000,4096,36,74435,303503,19055360,77696768,2498,105,43,15,20,19,13,67,43,0,0
80000000,4096,36,13469,312224,3448064,79929344,2473,118,49,23,14,16,17,70,49,0,0
80000000,4096,36,92775,298421,23750400,76395776,2515,103,42,16,20,16,21,73,42,0,0
80000000,4096,36,164594,265637,42136064,68003072,2574,110,45,20,18,28,16,82,45,0,0
80000000,4096,36,29861,311063,7644416,79632128,2574,102,40,16,17,27,10,70,40,0,0
80000000,4096,36,98390,296617,25187840,75933952,2555,104,50,16,22,19,17,74,50,0,0
80000000,4096,36,210980,230548,54010880,59020288,2508,109,46,15,25,18,19,77,46,0,0
80000000,4096,36,187530,249976,48007680,63993856,2549,105,45,14,20,21,15,70,45,0,0
80000000,4096,36,151100,273553,38681600,70029568,2556,97,45,19,14,19,21,73,45,0,0
80000000,4096,36,127787,285172,32713472,73004032,2571,113,50,21,23,21,23,88,50,0,0
80000000,4096,36,50390,308409,12899840,78952704,2554,105,43,11,15,24,16,66,43,0,0
80000000,4096,36,214865,226931,55005440,58094336,2512,125,51,18,13,22,19,72,51,0,0
80000000,4096,36,68949,304787,17650944,78025472,2549,108,42,14,18,23,19,74,42,0,0
80000000,4096,36,129233,284527,33083648,72838912,2499,112,45,22,19,14,22,77,45,0,0
80000000,4096,36,55397,307541,14181632,78730496,2599,101,41,21,23,18,17,79,41,0,0
80000000,4096,36,112178,291679,28717568,74669824,2528,112,48,21,26,20,16,83,48,0,0
80000000,4096,36,73404,303740,18791424,77757440,2493,130,50,17,20,18,14,69,50,0,0
80000000,4096,36,174148,259462,44581888,66422272,2577,89,35,15,18,16,15,64,35,0,0
80000000,4096,36,56448,307359,14450688,78683904,2548,90,37,21,17,20,12,70,37,0,0
80000000,4096,36,215118,226661,55070208,58025216,2411,120,50,21,19,12,27,79,50,0,0
80000000,4096,36,120059,288500,30735104,73856000,2538,102,45,21,23,15,16,75,45,0,0
80000000,4096,36,77824,302660,19922944,77480960,2587,98,39,19,18,17,18,72,39,0,0
80000000,4096,36,38955,310070,9972480,79377920,2467,107,40,23,14,16,22,75,40,0,0
80000000,4096,36,119794,288629,30667264,73889024,2515,104,46,17,12,21,24,74,46,0,0
80000000,4096,36,111680,291857,28590080,74715392,2466,128,42,18,10,18,18,64,42,0,0
80000000,4096,36,173372,260015,44383232,66563840,2517,106,48,20,21,19,18,78,48,0,0
80000000,4096,36,114326,290843,29267456,74455808,2593,102,45,17,19,13,24,73,45,0,0
80000000,4096,36,177158,257419,45352448,65899264,2515,135,52,22,16,17,20,75,52,0,0
80000000,4096,36,150479,273887,38522624,70115072,2574,89,41,19,16,26,17,78,41,0,0
80000000,4096,36,217290,224608,55626240,57499648,2562,109,49,19,20,18,25,82,49,0,0
80000000,4096,36,152310,272880,38991360,69857280,2538,114,50,22,15,17,26,80,50,0,0
80000000,4096,36,49465,308561,12663040,78991616,2538,118,41,14,18,21,18,71,41,0,0
80000000,4096,36,187261,250174,47938816,64044544,2604,89,34,11,15,14,23,63,34,0,0
80000000,4096,36,38582,310116,9876992,79389696,2531,106,50,18,22,20,20,80,50,0,0
80000000,4096,36,4380,312467,1121280,79991552,2471,119,60,19,20,23,29,91,60,0,0
80000000,4096,36,162963,266641,41718528,68260096,2520,140,61,25,18,18,24,85,61,0,0
80000000,4096,36,33353,310716,8538368,79543296,2476,111,52,23,17,25,21,86,52,0,0
80000000,4096,36,103561,294842,26511616,75479552,2528,104,38,17,15,16,13,61,38,0,0
80000000,4096,36,139047,279876,35596032,71648256,2539,123,44,14,24,16,13,67,44,0,0
80000000,4096,36,125711,286085,32182016,73237760,2549,111,50,22,17,24,20,83,50,0,0
80000000,4096,36,210457,231015,53876992,59139840,2556,118,49,24,22,14,19,79,49,0,0
80000000,4096,36,85446,300599,21874176,76953344,2487,110,44,20,17,15,15,67,44,0,0
80000000,4096,36,12401,312240,3174656,79933440,2536,101,40,17,14,15,16,62,40,0,0
80000000,4096,36,109130,292826,27937280,74963456,2482,129,54,24,16,15,18,73,54,0,0
80000000,4096,36,220777,221151,56518912,56614656,2440,125,48,20,12,22,17,71,48,0,0
80000000,4096,36,155258,271194,39746048,69425664,2526,125,46,18,20,20,20,78,46,0,0
80000000,4096,36,129220,284533,33080320,72840448,2540,116,42,20,12,25,14,71,42,0,0
80000000,4096,36,179037,256139,45833472,65571584,2575,116,46,18,21,24,20,83,46,0,0
80000000,4096,36,9092,312354,2327552,79962624,2488,120,49,16,19,17,16,68,49,0,0
80000000,4096,36,14082,312184,3604992,79919104,2539,115,55,19,22,21,22,84,55,0,0
80000000,4096,36,31828,310863,8147968,79580928,2608,99,44,18,22,17,15,72,44,0,0
80000000,4096,36,41658,309709,10664448,79285504,2620,83,36,15,26,14,19,74,36,0,0
80000000,4096,36,69737,304607,17852672,77979392,2530,106,41,16,17,16,19,68,41,0,0
80000000,4096,36,58420,306991,14955520,78589696,2509,100,44,24,16,22,18,80,44,0,0
80000000,4096,36,158740,269177,40637440,68909312,2514,119,39,16,19,18,17,70,39,0,0
80000000,4096,36,51114,308294,13085184,78923264,2494,124,46,18,26,12,11,67,46,0,0
80000000,4096,36,163328,266407,41811968,68200192,2529,118,41,19,15,17,14,65,41,0,0
80000000,4096,36,38292,310130,9802752,79393280,2566,104,37,16,16,12,16,60,37,0,0
80000000,4096,36,69387,304694,17763072,78001664,2474,112,45,22,17,17,25,81,45,0,0
80000000,4096,36,51078,308297,13075968,78924032,2463,132,51,17,20,21,18,76,51,0,0
80000000,4096,36,165789,264896,42441984,67813376,2527,109,41,15,19,20,14,68,41,0,0
80000000,4096,36,220042,221885,56330752,56802560,2483,103,37,19,18,16,16,69,37,0,0
80000000,4096,36,46249,309070,11839744,79121920,2532,118,44,17,18,17,18,70,44,0,0
80000000,4096,36,94620,297814,24222720,76240384,2500,123,50,23,18,22,15,78,50,0,0
80000000,4096,36,31749,310893,8127744,79588608,2635,82,31,13,23,14,18,68,31,0,0
80000000,4096,36,14208,312177,3637248,79917312,2494,112,47,15,21,15,20,71,47,0,0
80000000,4096,36,101605,295536,26010880,75657216,2611,72,27,17,15,14,14,60,27,0,0
80000000,4096,36,104675,294458,26796800,75381248,2491,121,55,14,23,19,18,74,55,0,0
80000000,4096,36,126284,285853,32328704,73178368,2518,133,55,22,22,19,20,83,55,0,0
80000000,4096,36,125845,286023,32216320,73221888,2557,107,47,20,20,12,22,74,47,0,0
80000000,4096,36,196070,243324,50193920,62290944,2457,135,53,17,17,24,21,79,53,0,0
80000000,4096,36,217310,224559,55631360,57487104,2593,100,45,22,24,18,15,79,45,0,0
80000000,4096,36,153795,272017,39371520,69636352,2523,102,35,18,13,11,28,70,35,0,0
80000000,4096,36,174643,259160,44708608,66344960,2514,113,49,20,22,14,22,78,49,0,0
80000000,4096,36,179326,255911,45907456,65513216,2545,113,47,21,13,18,19,71,47,0,0
80000000,4096,36,133830,282381,34260480,72289536,2475,114,49,19,20,20,17,76,49,0,0
80000000,4096,36,7582,312416,1940992,79978496,2525,116,44,18,22,20,17,77,44,0,0
80000000,4096,36,164184,265882,42031104,68065792,2530,117,43,17,10,23,22,72,43,0,0
80000000,4096,36,114175,290911,29228800,74473216,2531,111,49,24,21,14,16,75,49,0,0
80000000,4096,36,127123,285470,32543488,73080320,2539,117,50,22,17,25,19,83,50,0,0
80000000,4096,36,75330,303282,19284480,77640192,2555,95,38,15,23,16,14,68,38,0,0
80000000,4096,36,193847,245117,49624832,62749952,2502,107,43,20,21,21,21,83,43,0,0
80000000,4096,36,64907,305675,16616192,78252800,2546,91,43,17,20,15,20,72,43,0,0
80000000,4096,36,152492,272761,39037952,69826816,2457,122,54,16,19,22,22,79,54,0,0
80000000,4096,36,133631,282487,34209536,72316672,2551,104,40,22,21,20,12,75,40,0,0
80000000,4096,36,119160,288886,30504960,73954816,2527,103,42,16,21,15,24,76,42,0,0
80000000,4096,36,190746,247514,48830976,63363584,2489,112,50,14,20,23,18,75,50,0,0
80000000,4096,36,167091,264072,42775296,67602432,2573,107,40,17,19,16,16,68,40,0,0
80000000,4096,36,182116,253944,46621696,65009664,2541,91,37,17,19,16,15,67,37,0,0
80000000,4096,36,145701,276442,37299456,70769152,2496,109,53,22,22,16,13,73,53,0,0
80000000,4096,36,110593,292272,28311808,74821632,2534,95,36,16,18,19,17,70,36,0,0
80000000,4096,36,94359,297909,24155904,76264704,2544,115,48,16,15,23,22,76,48,0,0
